Id	mcmobs								
Author	MinecraftWiki	skydarkchen							
villager	R	Overworld	Passive	Normal	7	Villager	Villagers are passive mobs that inhabit villages, work at their professions, breed, and interact.	村民	村民（Villager）是一种生活在村庄中的被动型生物，它们会依自己的职业进行工作，能够繁殖和与玩家交易。它们的衣服因其职业和村庄所在生物群系而异。
wandering_trader	R	Overworld	Passive	Normal	7	Wandering Trader	The wandering trader is a passive mob that randomly spawns near the player. It can trade, making natural items more available, less dangerous to obtain, and in some cases, renewable.	流浪商人	流浪商人（Wandering Trader）是一种可以在世界各处生成的，类似于村民的被动型生物。
bee	R	Overworld	Neutral	Normal	7	Bee	Bees are flying neutral mobs that live in bee nests and beehives. If provoked, bees attack in a swarm to "sting" the player and inflict poison.	蜜蜂	蜜蜂（Bee）是居住在蜂巢或蜂箱的中立型生物，会在被激怒时成群结队地蜇玩家，使其中毒。
cave_spider	R	Overworld	Neutral	Variant	7	Cave Spider	A cave spider is a small venomous variant of the spider. They spawn and live in mineshafts.	洞穴蜘蛛	洞穴蜘蛛（Cave Spider）是一种能够造成玩家中毒的中立型生物。
enderman	R	End	Neutral	Normal	7	Enderman	Endermen are tall neutral mobs found in all three dimensions, which have the ability to teleport and pick up blocks.	末影人	末影人（Enderman）是一种来自末路之地、会传送的高大黑色中立型生物。
iron_golem	R	Overworld	Neutral	Normal	7	Iron Golem	An iron golem is a large strong neutral utility mob that defends players and villagers.	铁傀儡	铁傀儡（Iron Golem）是高大强壮的效用型生物，用于保护玩家和村民。
llama	R	Overworld	Neutral	Normal	7	Llama	Llamas are neutral mobs that can be tamed and used to transport large shipments of items.	羊驼	羊驼（Llama）是一种可驯服的中立型生物，能够运输大量的物品。
wolf	R	Overworld	Neutral	Normal	7	Wolf	Wolves are neutral mobs that can be tamed.	狼	狼（Wolf）是一种能够被玩家驯服的中立型生物。
blaze	R	Nether	Hostile	Normal	7	Blaze	Blazes are floating hostile mobs found in nether fortresses, and are the only source of blaze rods.	烈焰人	烈焰人（Blaze）是生成在下界的飞行攻击型生物。
phantom	R	Overworld	Hostile	Normal	7	Phantom	Phantoms are flying undead hostile mobs that spawn when the player has not slept or died for three or more in-game days.	幻翼	幻翼（Phantom）是一种攻击型亡灵生物，会生成于超过3个游戏日没有睡觉的玩家的上空。
pillager	R	Overworld	Hostile	Normal	7	Pillager	Pillagers are illagers armed with crossbows that patrol the Overworld, guard their outposts, and participate in raids, sometimes spawning on ravagers.	掠夺者	掠夺者（Pillager）是一种装备弩的灾厄村民，自然生成于灾厄巡逻队和掠夺者前哨站，也生成于袭击中。
ravager	R	Overworld	Hostile	Normal	7	Ravager	Ravagers are large hostile mobs that spawn in raids and attack players, villagers, wandering traders and iron golems.	劫掠兽	劫掠兽（Ravager）是在袭击中生成的巨型敌对生物，在基岩版中是灾厄村民的变种之一。
shulker	R	End	Hostile	Normal	7	Shulker	Shulkers are box-shaped hostile mobs found in end cities. They hide in their shell to blend in with surrounding purpur blocks and guard the city's various treasures.	潜影贝	潜影贝（Shulker）是在末地城和末地船自然生成的敌对生物。它们会将自己隐藏在贝壳里，和末地城的紫珀块混在一起。
slime	R	Overworld	Hostile	Normal	7	Slime	Slimes are bouncy, cube-shaped hostile mobs that spawn deep underground in particular chunks known as slime chunks, or at night in swamp biomes.	史莱姆	史莱姆（Slime）是一种生成在沼泽生物群系的攻击型生物，偶尔也会在地下生成。
wither_skeleton	R	Nether	Hostile	Variant	7	Wither Skeleton	Wither skeletons are tall variants of skeletons equipped with stone swords found in nether fortresses, which inflict the fatal Wither effect.	凋灵骷髅	凋灵骷髅（Wither Skeleton）为天然生成于下界要塞的危险的骷髅变种，在生成时就持有石剑。
zombie_villager	R	Overworld	Hostile	Variant	7	Zombie Villager	Zombie villagers are variants of zombies that can be cured into normal villagers using golden apples while they are under the effect of Weakness.	僵尸村民	僵尸村民（Zombie villagers） 是僵尸的一个变种，可以在其被施加虚弱效果后对其使用一个金苹果治愈成村民。
dolphin	SR	Aquatic	Neutral	Normal	5	Dolphin	Dolphins are neutral mobs that live in non-frozen oceans, which grant a speed boost to players that swim near them.	海豚	海豚（Dolphin）是生活在除冻洋以外的海洋里的中立生物。
skeleton_horse	SR	Overworld	Passive	Variant	5	Skeleton Horse	Skeleton horses are undead variants of horses that rarely spawn when lightning strikes.	骷髅马	骷髅马（Skeleton Horse）是马的亡灵变种。
panda	SR	Overworld	Neutral	Normal	5	Panda	A panda is a rare neutral mob that resides in jungles. Certain aspects of a panda's behavior and appearance vary depending on its personality.	熊猫	熊猫（Panda）是一种生成在竹林的中立型生物。
chicken_jockey	SR	Overworld	Hostile	Variant	5	Chicken Jockey	Chicken jockeys are the rare appearance of a baby zombie, baby zombified piglin, baby zombie villager, baby husk, or baby drowned riding a chicken.	鸡骑士	鸡骑士（Chicken Jockey）是幼年僵尸、幼年僵尸村民、幼年尸壳、幼年僵尸猪灵或幼年溺尸骑着鸡的罕见组合。
spider_jockey	SR	Overworld	Hostile	Variant	5	Spider Jockey	Spider jockeys are the rare appearance of a spider being ridden by a skeleton.	蜘蛛骑士	蜘蛛骑士（Spider Jockey）是一种罕见的由骷髅、流浪者或凋灵骷髅骑在蜘蛛或洞穴蜘蛛身上形成的生物。
vex	SR	Overworld	Hostile	Normal	5	Vex	Vexes are tiny flying hostile mobs summoned in small groups of three by the spell-casting evoker.	恼鬼	恼鬼（Vex）是一种飞行的攻击型生物，由唤魔者在战斗时群体式地召唤出来。
vindicator	SR	Overworld	Hostile	Normal	5	Vindicator	A vindicator is an illager equipped with an iron axe. Vindicators appear in woodland mansions and participate in raids.	卫道士	卫道士（Vindicator）是一种使用铁斧进行攻击的灾厄村民。
piglin_brute	SR	Nether	Hostile	Variant	5	Piglin Brute	A piglin brute is a hostile and stronger variant of piglins that appears in all types of bastion remnants.	猪灵蛮兵	猪灵蛮兵（Piglin Brute）是守卫堡垒遗迹的攻击型猪灵变种。
elder_guardian	SSR	Aquatic	Hostile	Variant	3	Elder Guardian	An elder guardian is a stronger, larger variant of the guardian, and it can inflict Mining Fatigue. It is the largest aquatic mob in Minecraft.	远古守卫者	远古守卫者（Elder Guardian）是一种只生成在海底神殿的攻击型生物。它是守卫者的更强变种。
evoker	SSR	Overworld	Hostile	Normal	3	Evoker	An evoker is a spell-casting illager found in woodland mansions and raids, and is the only source of the totem of undying.	唤魔者	唤魔者（Evoker）是一种会施展法术的攻击型生物，也是一种灾厄村民。它们是不死图腾的唯一来源。
ravager_jockey	SSR	Overworld	Hostile	Variant	3	Ravager Jockey	Ravager jockeys are formed when a Pillager, Vindicator or an Evoker rides on a Ravager.	劫掠兽骑手	一次袭击中可生成多达7只劫掠兽。非骑乘状态的劫掠兽生成在第3波，被掠夺者骑乘的生成在第5波和第8波，被卫道士骑乘的生成在第7波和第8波，被唤魔者骑乘的也生成在第7波和第8波。
skeleton_horseman	SSR	Overworld	Hostile	Variant	3	Skeleton Horseman	When a player comes within 10 blocks of the skeleton trap horse, lightning strikes it. When struck, the skeleton trap horse transforms into a skeleton horseman: a skeleton riding a skeleton horse.	骷髅骑手	当玩家与骷髅陷阱马的距离小于等于10格时，闪电会击中这只马。被闪电击中后，骷髅陷阱马会变成骷髅骑手（骑着骷髅马的骷髅），并且在它的附近会额外生成三个骷髅骑手。
ender_dragon	UR	End	Hostile	Normal	1	Ender Dragon	The Ender dragon is a gigantic flying hostile boss mob found when first entering the End. She is the largest naturally spawning mob in the game and is widely acknowledged as the final boss of Minecraft.	末影龙	末影龙（Ender Dragon）是玩家初次进入末路之地时出现的危险的、飞行的Boss生物。
wither	UR	Nether	Hostile	Normal	1	Wither	The wither is an undead hostile boss mob that floats and shoots explosive skulls at players and mobs, that can only be purposely constructed by the player.	凋灵	凋灵（Wither）是一种具有飞行能力、有三个头的Boss生物。
